study_id,domain,rater,prompt_key,model,run_index,judgment,signalling,overall,off_scale,confidence,parse_status,parse_layer,call_label,rationale_len
10772372,1,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,high,,,ok,strict,all_domains,10994
10772372,2,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,high,,,ok,strict,all_domains,10994
10772372,3,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,,,ok,strict,all_domains,10994
10772372,4,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,no information,,ok,strict,all_domains,10994
10772372,5,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,unclear,,ok,strict,all_domains,10994
10844830,1,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,unclear,,ok,strict,all_domains,9985
10844830,2,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,high,,,ok,strict,all_domains,9985
10844830,3,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,high,,,ok,strict,all_domains,9985
10844830,4,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,,,ok,strict,all_domains,9985
10844830,5,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,unclear,,ok,strict,all_domains,9985
11483268,1,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,some_concerns,,,ok,strict,all_domains,9018
11483268,2,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,some_concerns,,,ok,strict,all_domains,9018
11483268,3,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,some_concerns,,,ok,strict,all_domains,9018
11483268,4,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,some_concerns,,,ok,strict,all_domains,9018
11483268,5,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,some_concerns,,,ok,strict,all_domains,9018
11571068,1,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,high,,,ok,strict,all_domains,13521
11571068,2,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,high,,high,,,ok,strict,all_domains,13521
11571068,3,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,no information,,ok,strict,all_domains,13521
11571068,4,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,low,,high,,,ok,strict,all_domains,13521
11571068,5,dipumpo_2025::rob_analyzer@claude-sonnet-5,dipumpo_2025::rob_analyzer,claude-sonnet-5,1,some_concerns,,high,,,ok,strict,all_domains,13521
